3d_animatore	3d animatore
Giornalista	Giornalista
Insegnante_delle_scuole_elementari	Insegnante delle scuole elementari
Specialista_in_Logistica	Specialista in Logistica
acquirente_multimediale	acquirente multimediale
acquisizione_di_talenti	acquisizione di talenti
addestratore_di_cani	addestratore di cani
agente_di_viaggi	agente di viaggi
agente_immobiliare	agente immobiliare
agopuntore	agopuntore
agronomo	agronomo
allenatore_sportivo	allenatore sportivo
analista_della_sicurezza_di_rete	analista della sicurezza di rete
analista_di_banche_d'affari	analista di banche d'affari
analista_di_marketing_commerciale	analista di marketing commerciale
analista_di_portafoglio	analista di portafoglio
analista_di_private_equity	analista di private equity
anestesista	anestesista
archivista	archivista
artista_dell'ambiente	artista dell'ambiente
avvocato	avvocato
ballerino	ballerino
bambinaia	bambinaia
banchiere	banchiere
barista	barista
cameraman	cameraman
camionista	camionista
cantante	cantante
cassiere	cassiere
commercialista_fiscale	commercialista fiscale
commerciante_di_azioni	commerciante di azioni
compositore	compositore
conducente_muletto	conducente muletto
consigliere_politico	consigliere politico
consulente_di_strategia_aziendale	consulente di strategia aziendale
copywriter	copywriter
cucinare	cucinare
custode	custode
decoratore_d'interni	decoratore d'interni
dentista	dentista
designer_tessile	designer tessile
detective_della_polizia	detective della polizia
direttore_di_galleria	direttore di galleria
dirigente_delle_pubbliche_relazioni	dirigente delle pubbliche relazioni
editore	editore
editore_video	editore video
falegname	falegname
farmacista	farmacista
fotografo	fotografo
geologo_esplorativo	geologo esplorativo
grafico	grafico
idraulico	idraulico
idrogeologo	idrogeologo
infermiere_diplomato	infermiere diplomato
ingegnere_aerospaziale	ingegnere aerospaziale
ingegnere_automobilistico	ingegnere automobilistico
ingegnere_biomedico	ingegnere biomedico
ingegnere_civile	ingegnere civile
ingegnere_dell'automazione	ingegnere dell'automazione
ingegnere_delle_telecomunicazioni	ingegnere delle telecomunicazioni
ingegnere_di_perforazione	ingegnere di perforazione
ingegnere_di_rete	ingegnere di rete
ingegnere_di_trasmissione	ingegnere di trasmissione
ingegnere_elettronico	ingegnere elettronico
ingegnere_meccanico	ingegnere meccanico
ingegnere_progettista_analogico	ingegnere progettista analogico
ingegnere_senza_fili	ingegnere senza fili
investigatore_privato	investigatore privato
maestra_d'asilo	maestra d'asilo
marinaio	marinaio
mediatore	mediatore
mediatore_assicurativo	mediatore assicurativo
metallurgista	metallurgista
operatore_chimico	operatore chimico
organizzatore_di_matrimoni	organizzatore di matrimoni
panettiere	panettiere
parrucchiere	parrucchiere
personal_trainer	personal trainer
pilota_di_linea	pilota di linea
pompiere	pompiere
portalettere	portalettere
professore_di_storia	professore di storia
progettista_urbano	progettista urbano
psicoterapeuta	psicoterapeuta
raccolta_fondi	raccolta fondi
rappresentante_del_supporto_tecnico	rappresentante del supporto tecnico
reclutatore_tecnico	reclutatore tecnico
regista	regista
ristoratore	ristoratore
spazzola_per_cani	spazzola per cani
specialista_import_export	specialista import export
stilista_di_moda	stilista di moda
supervisore_alla_reception	supervisore alla reception
sviluppatore_ios	sviluppatore ios
sviluppatore_java	sviluppatore java
sviluppatore_web	sviluppatore web
tecnico_di_supporto_desktop	tecnico di supporto desktop
tecnico_riparatore_di_computer	tecnico riparatore di computer
tecnologo_alimentare	tecnologo alimentare
tecnologo_radiologico	tecnologo radiologico
traduttore	traduttore
truccatore	truccatore
ufficiale_di_prestito	ufficiale di prestito
veterinario	veterinario
