Animator_3D	Animator 3D
Broker_ubezpieczeniowy	Broker ubezpieczeniowy
Edytor_wideo	Edytor wideo
Inżynier_biomedyczny	Inżynier biomedyczny
Inżynier_samochodowy	Inżynier samochodowy
Nabór_Talentu	Nabór Talentu
Nauczyciel_szkoły_podstawowej	Nauczyciel szkoły podstawowej
Programista_iOS	Programista iOS
Specjalista_od_logistyki	Specjalista od logistyki
Web_Developer	Web Developer
adwokat	adwokat
agent_biura_podróży	agent biura podróży
agronom	agronom
analityk_bankowości_inwestycyjnej	analityk bankowości inwestycyjnej
analityk_bezpieczeństwa_sieci	analityk bezpieczeństwa sieci
analityk_marketingu_handlowego	analityk marketingu handlowego
analityk_portfelowy	analityk portfelowy
analityk_private_equity	analityk private equity
anestezjolog	anestezjolog
archiwista	archiwista
artysta_środowiskowy	artysta środowiskowy
bankier	bankier
barman	barman
copywriter	copywriter
dekorator_wnętrz	dekorator wnętrz
dentysta	dentysta
detektyw_policyjny	detektyw policyjny
doradca_ds._polityki	doradca ds. polityki
dyplomowana_pielęgniarka	dyplomowana pielęgniarka
dyrektor_ds._public_relations	dyrektor ds. public relations
dyrektor_galerii	dyrektor galerii
farmaceuta	farmaceuta
fotograf	fotograf
fryzjer	fryzjer
geolog_poszukiwawczy	geolog poszukiwawczy
grafik	grafik
hydraulik	hydraulik
hydrogeolog	hydrogeolog
inżynier_automatyki	inżynier automatyki
inżynier_bezprzewodowy	inżynier bezprzewodowy
inżynier_budownictwa	inżynier budownictwa
inżynier_elektronik	inżynier elektronik
inżynier_lotniczy	inżynier lotniczy
inżynier_mechanik	inżynier mechanik
inżynier_projektant_analogowy	inżynier projektant analogowy
inżynier_sieci	inżynier sieci
inżynier_telekomunikacji	inżynier telekomunikacji
inżynier_transmisji	inżynier transmisji
inżynier_wiertniczy	inżynier wiertniczy
kasjer	kasjer
kierowca_ciężarówki	kierowca ciężarówki
kierownik_recepcji	kierownik recepcji
kompozytor	kompozytor
konsultant_ds._strategii_biznesowej	konsultant ds. strategii biznesowej
kotwica_wiadomości	kotwica wiadomości
księgowy_podatkowy	księgowy podatkowy
kucharz	kucharz
kustosz	kustosz
lekarz_weterynarii	lekarz weterynarii
listonosz	listonosz
marynarz	marynarz
mediator	mediator
metalurg	metalurg
nabywca_mediów	nabywca mediów
niania	niania
operator	operator
operator_chemiczny	operator chemiczny
operator_wózka_widłowego	operator wózka widłowego
organizator_ślubu	organizator ślubu
osobisty_trener_fitness	osobisty trener fitness
piekarz	piekarz
pilot_lini_lotniczych	pilot lini lotniczych
piosenkarz	piosenkarz
pośrednik_w_handlu_nieruchomościami	pośrednik w handlu nieruchomościami
prawnik	prawnik
profesor_historii	profesor historii
programista_Java	programista Java
projektant_miejski	projektant miejski
projektant_mody	projektant mody
projektant_tekstyliów	projektant tekstyliów
prywatny_detektyw	prywatny detektyw
przedstawiciel_wsparcia_technicznego	przedstawiciel wsparcia technicznego
przedszkolanka	przedszkolanka
psi_fryzjer	psi fryzjer
psychoterapeuta	psychoterapeuta
rekruter_techniczny	rekruter techniczny
reżyser	reżyser
specjalista_ds._importu_i_eksportu	specjalista ds. importu i eksportu
specjalista_od_akupunktury	specjalista od akupunktury
stolarz	stolarz
strażak	strażak
tancerz	tancerz
technik_naprawy_komputerów	technik naprawy komputerów
technik_wsparcia_komputerów_stacjonarnych	technik wsparcia komputerów stacjonarnych
technolog_radiolog	technolog radiolog
technolog_żywności	technolog żywności
trader_akcji	trader akcji
trener_psów	trener psów
trener_sportowy	trener sportowy
tłumacz	tłumacz
urzędnik_ds._pożyczek	urzędnik ds. pożyczek
wizażysta	wizażysta
wydawca	wydawca
zbiórka_pieniędzy	zbiórka pieniędzy
żywieniowiec	żywieniowiec
